start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
5120,0,20.24609375,8.8026371328125,5183,D,20.24609375,0.10699713281249856,63,47,20.0,8.695640000000001,4 4,Piano,55
5120,1,20.4921875,8.909634265625,5246,D,20.4921875,0.2139942656249989,126,23,20.0,8.695640000000001,4 4,Piano,31
5248,0,20.74609375,9.0200281328125,5311,D,20.74609375,0.10699713281250034,63,49,20.5,8.913031,4 4,Piano,51
5376,0,21.24609375,9.2374191328125,5439,D,21.24609375,0.10699713281250034,63,50,21.0,9.130422,4 4,Piano,54
5376,1,21.4921875,9.344416265625,5502,D,21.4921875,0.21399426562500068,126,30,21.0,9.130422,4 4,Piano,38
5504,0,21.74609375,9.4548101328125,5567,D,21.74609375,0.10699713281250034,63,52,21.5,9.347813,4 4,Piano,51
5632,0,22.24609375,9.6722011328125,5695,D,22.24609375,0.10699713281250034,63,54,22.0,9.565204,4 4,Piano,55
5632,1,22.4921875,9.779198265625,5758,D,22.4921875,0.21399426562500068,126,23,22.0,9.565204,4 4,Piano,29
5760,0,22.74609375,9.8895921328125,5823,D,22.74609375,0.10699713281249856,63,50,22.5,9.782595,4 4,Piano,30
5888,0,23.4921875,10.213980265625,6014,D,23.4921875,0.21399426562500068,126,54,23.0,9.999986,4 4,Piano,38
5888,1,23.4921875,10.213980265625,6014,D,23.4921875,0.21399426562500068,126,30,23.0,9.999986,4 4,Piano,41
6144,0,24.24609375,10.5417651328125,6207,D,24.24609375,0.10699713281250034,63,53,24.0,10.434768,4 4,Piano,47
6144,1,24.4921875,10.648762265625,6270,D,24.4921875,0.21399426562500068,126,23,24.0,10.434768,4 4,Piano,33
6272,0,24.74609375,10.7591561328125,6335,D,24.74609375,0.10699713281250034,63,49,24.5,10.652159,4 4,Piano,32
6400,0,25.4921875,11.083544265625,6526,D,25.4921875,0.2139942656249989,126,53,25.0,10.86955,4 4,Piano,40
6400,1,25.4921875,11.083544265625,6526,D,25.4921875,0.2139942656249989,126,30,25.0,10.86955,4 4,Piano,39
6656,0,26.24609375,11.4113291328125,6719,D,26.24609375,0.10699713281250034,63,52,26.0,11.304332,4 4,Piano,49
6656,1,26.4921875,11.518326265625,6782,D,26.4921875,0.2139942656249989,126,23,26.0,11.304332,4 4,Piano,30
6784,0,26.74609375,11.6287201328125,6847,D,26.74609375,0.10699713281250034,63,48,26.5,11.521723,4 4,Piano,33
6912,0,27.4921875,11.953108265625,7038,D,27.4921875,0.2139942656249989,126,52,27.0,11.739114,4 4,Piano,39
6912,1,27.4921875,11.953108265625,7038,D,27.4921875,0.2139942656249989,126,30,27.0,11.739114,4 4,Piano,41
7168,0,28.24609375,12.2808931328125,7231,D,28.24609375,0.10699713281250034,63,47,28.0,12.173896,4 4,Piano,35
7168,1,28.4921875,12.387890265625,7294,D,28.4921875,0.21399426562500068,126,23,28.0,12.173896,4 4,Piano,32
7296,0,28.74609375,12.4982841328125,7359,D,28.74609375,0.10699713281250034,63,49,28.5,12.391287,4 4,Piano,35
7424,0,29.24609375,12.7156751328125,7487,D,29.24609375,0.10699713281250034,63,50,29.0,12.608678,4 4,Piano,39
7424,1,29.4921875,12.822672265625,7550,D,29.4921875,0.21399426562500068,126,30,29.0,12.608678,4 4,Piano,41
7552,0,29.74609375,12.9330661328125,7615,D,29.74609375,0.10699713281250034,63,52,29.5,12.826069,4 4,Piano,35
7680,0,30.24609375,13.1504571328125,7743,D,30.24609375,0.10699713281250034,63,54,30.0,13.04346,4 4,Piano,40
7680,1,30.4921875,13.257454265625,7806,D,30.4921875,0.21399426562500068,126,23,30.0,13.04346,4 4,Piano,30
7808,0,30.74609375,13.3678481328125,7871,D,30.74609375,0.10699713281249856,63,50,30.5,13.260851,4 4,Piano,30
7936,0,31.24609375,13.5852391328125,7999,D,31.24609375,0.10699713281250034,63,54,31.0,13.478242,4 4,Piano,41
